,day1,day2,day3,day4,day5,day6,day7,day8
r_1,V006,V004,V006,V006,V005,V012,V004,V005
r_2,V035,V002,V005,V013,V002,V005,V002,V012
r_3,V015,V035,V002,V005,V013,V002,V005,V002
r_4,V031,V015,V035,V004,V015,V011,V031,V004
r_5,V013,V031,V015,V035,V004,V015,V011,V031
r_6,V012,V013,V031,V015,V035,V004,V015,V011
r_7,V002,V006,V032,V030,V012,V008,V032,V006
r_8,V021,V029,V011,V032,V001,V035,V023,V020
r_9,V005,V021,V029,V011,V032,V001,V035,V023
r_10,V027,V005,V021,V029,V011,V032,V001,V035
r_11,V016,V012,V008,V031,V009,V013,V008,V030
r_12,V011,V016,V012,V008,V031,V009,V013,V008
r_13,V004,V011,V016,V012,V008,V031,V009,V013
r_14,V008,V032,V030,无安排,无安排,无安排,无安排,V032
r_15,V030,V030,V013,无安排,无安排,无安排,无安排,V015
r_16,V032,V020,V007,V007,V030,V007,V010,V019
r_17,V007,V001,V009,V021,V022,V017,V007,V009
r_18,V001,V007,V001,V009,V021,V022,V017,V007
r_19,V010,V014,V003,V010,V020,V003,V022,V001
r_20,V009,V010,V014,V003,V010,V020,V003,V022
r_21,V024,V009,V010,V014,V003,V010,V020,V003
r_22,V026,V024,V019,V026,V024,V018,V021,V010
r_23,V003,V026,V024,V019,V026,V024,V018,V021
r_24,V020,V003,V026,V024,V019,V026,V024,V018
r_25,V019,V023,V020,V017,V028,V019,V028,V014
r_26,V014,V019,V023,V020,V017,V028,V019,V028
r_27,V022,无安排,V018,无安排,无安排,无安排,无安排,V034
r_28,无安排,V022,无安排,V018,无安排,无安排,无安排,无安排
r_29,V034,V017,V022,V025,V029,V034,V027,V017
r_30,V017,V034,V017,V022,V025,V029,V034,V027
r_31,V033,V027,V033,V016,V023,V025,V026,V033
r_32,V023,V033,V027,V033,V016,V023,V025,V026
r_33,V025,V028,V034,V027,V033,V016,V029,V025
r_34,V018,V025,V028,V034,V027,V033,V016,V029
r_35,V029,V018,V025,V028,V034,V027,V033,V016
z,V028,无安排,无安排,V002,无安排,V014,V006;V030,无安排
l,无安排,无安排,无安排,V001,V007;V018,无安排,V012;V014,无安排
free,无安排,V008,V004,V023,V006;V014,V006;V021;V030,无安排,V024
